case,problem,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,label,cache_hit_rate,parallelism,n_elig
case_094,3,4,94892,23594,4.0219,494952,v39_btol_tol0.15-window10,0.2809036600832672,23.38,647
case_094,3,5,94892,19306,4.9152,664864,v31_grow_count_m8,0.28087780482990066,23.38,647
case_095,1,2,2084853,1057759,1.971,0,v39_slack_mult4-slack0.35,0,344.3,3696
case_095,1,3,2084853,706750,2.9499,0,v39_slack_mult4-slack0.35,0,344.3,3696
case_095,1,4,2084853,531709,3.921,0,v39_slack_mult4-slack0.35,0,344.3,3696
case_095,1,5,2084853,424348,4.9131,0,v39_slack_mult4-slack0.35,0,344.3,3696
case_095,2,2,2084853,573788,3.6335,16588800,v32_bandcomp_w4,0,344.3,3696
case_095,2,3,2084853,474501,4.3938,16367616,v32_bandcomp_w4,0,344.3,3696
case_095,2,4,2084853,467798,4.4567,16220160,v32_bandcomp_w4,0,344.3,3696
case_095,2,5,2084853,420852,4.9539,0,v32_bandcomp_w10,0,344.3,3696
case_095,3,2,2084853,573788,3.6335,16588800,v32_bandcomp_w4,0.0,344.3,3696
case_095,3,3,2084853,474501,4.3938,16367616,v32_bandcomp_w4,0.0,344.3,3696
case_095,3,4,2084853,467798,4.4567,16220160,v32_bandcomp_w4,0.0,344.3,3696
case_095,3,5,2084853,420852,4.9539,0,v32_bandcomp_w10,0.0,344.3,3696
case_096,1,2,84194,48202,1.7467,337920,v24_grow_count_m6,0,8.22,1198
case_096,1,3,84194,33068,2.5461,337920,v15_growcnt_m4,0,8.22,1198
case_096,1,4,84194,27585,3.0522,917844,v35_bandref_w16,0,8.22,1198
case_096,1,5,84194,26965,3.1223,817492,v33_bandref_w20,0,8.22,1198
case_096,2,2,84194,40715,2.0679,139116,v33_bandref_w10,0,8.22,1198
case_096,2,3,84194,28146,2.9913,127420,v33_bandref_w10,0,8.22,1198
case_096,2,4,84194,22949,3.6687,335560,v34_bandref_w8,0,8.22,1198
case_096,2,5,84194,21899,3.8447,598056,v35_bandref_w6,0,8.22,1198
case_096,3,2,84194,40715,2.0679,139116,v33_bandref_w10,0.2436400384139797,8.22,1198
case_096,3,3,84194,28146,2.9913,127420,v33_bandref_w10,0.1259285370934145,8.22,1198
